date_id,full_date,year,month,month_name,quarter
1,2025-01-01,2025,1,January,1
2,2025-01-02,2025,1,January,1
3,2025-01-03,2025,1,January,1
4,2025-01-04,2025,1,January,1
5,2025-01-05,2025,1,January,1
6,2025-01-06,2025,1,January,1
7,2025-01-07,2025,1,January,1
8,2025-01-08,2025,1,January,1
9,2025-01-09,2025,1,January,1
10,2025-01-10,2025,1,January,1
11,2025-01-11,2025,1,January,1
12,2025-01-12,2025,1,January,1
13,2025-01-13,2025,1,January,1
14,2025-01-14,2025,1,January,1
15,2025-01-15,2025,1,January,1
16,2025-01-16,2025,1,January,1
17,2025-01-17,2025,1,January,1
18,2025-01-18,2025,1,January,1
19,2025-01-19,2025,1,January,1
20,2025-01-20,2025,1,January,1
21,2025-01-21,2025,1,January,1
22,2025-01-22,2025,1,January,1
23,2025-01-23,2025,1,January,1
24,2025-01-24,2025,1,January,1
25,2025-01-25,2025,1,January,1
26,2025-01-26,2025,1,January,1
27,2025-01-27,2025,1,January,1
28,2025-01-28,2025,1,January,1
29,2025-01-29,2025,1,January,1
30,2025-01-30,2025,1,January,1
31,2025-01-31,2025,1,January,1
32,2025-02-01,2025,2,February,1
33,2025-02-02,2025,2,February,1
34,2025-02-03,2025,2,February,1
35,2025-02-04,2025,2,February,1
36,2025-02-05,2025,2,February,1
37,2025-02-06,2025,2,February,1
38,2025-02-07,2025,2,February,1
39,2025-02-08,2025,2,February,1
40,2025-02-09,2025,2,February,1
41,2025-02-10,2025,2,February,1
42,2025-02-11,2025,2,February,1
43,2025-02-12,2025,2,February,1
44,2025-02-13,2025,2,February,1
45,2025-02-14,2025,2,February,1
46,2025-02-15,2025,2,February,1
47,2025-02-16,2025,2,February,1
48,2025-02-17,2025,2,February,1
49,2025-02-18,2025,2,February,1
50,2025-02-19,2025,2,February,1
51,2025-02-20,2025,2,February,1
52,2025-02-21,2025,2,February,1
53,2025-02-22,2025,2,February,1
54,2025-02-23,2025,2,February,1
55,2025-02-24,2025,2,February,1
56,2025-02-25,2025,2,February,1
57,2025-02-26,2025,2,February,1
58,2025-02-27,2025,2,February,1
59,2025-02-28,2025,2,February,1
60,2025-03-01,2025,3,March,1
61,2025-03-02,2025,3,March,1
62,2025-03-03,2025,3,March,1
63,2025-03-04,2025,3,March,1
64,2025-03-05,2025,3,March,1
65,2025-03-06,2025,3,March,1
66,2025-03-07,2025,3,March,1
67,2025-03-08,2025,3,March,1
68,2025-03-09,2025,3,March,1
69,2025-03-10,2025,3,March,1
70,2025-03-11,2025,3,March,1
71,2025-03-12,2025,3,March,1
72,2025-03-13,2025,3,March,1
73,2025-03-14,2025,3,March,1
74,2025-03-15,2025,3,March,1
75,2025-03-16,2025,3,March,1
76,2025-03-17,2025,3,March,1
77,2025-03-18,2025,3,March,1
78,2025-03-19,2025,3,March,1
79,2025-03-20,2025,3,March,1
80,2025-03-21,2025,3,March,1
81,2025-03-22,2025,3,March,1
82,2025-03-23,2025,3,March,1
83,2025-03-24,2025,3,March,1
84,2025-03-25,2025,3,March,1
85,2025-03-26,2025,3,March,1
86,2025-03-27,2025,3,March,1
87,2025-03-28,2025,3,March,1
88,2025-03-29,2025,3,March,1
89,2025-03-30,2025,3,March,1
90,2025-03-31,2025,3,March,1
91,2025-04-01,2025,4,April,2
92,2025-04-02,2025,4,April,2
93,2025-04-03,2025,4,April,2
94,2025-04-04,2025,4,April,2
95,2025-04-05,2025,4,April,2
96,2025-04-06,2025,4,April,2
97,2025-04-07,2025,4,April,2
98,2025-04-08,2025,4,April,2
99,2025-04-09,2025,4,April,2
100,2025-04-10,2025,4,April,2
101,2025-04-11,2025,4,April,2
102,2025-04-12,2025,4,April,2
103,2025-04-13,2025,4,April,2
104,2025-04-14,2025,4,April,2
105,2025-04-15,2025,4,April,2
106,2025-04-16,2025,4,April,2
107,2025-04-17,2025,4,April,2
108,2025-04-18,2025,4,April,2
109,2025-04-19,2025,4,April,2
110,2025-04-20,2025,4,April,2
111,2025-04-21,2025,4,April,2
112,2025-04-22,2025,4,April,2
113,2025-04-23,2025,4,April,2
114,2025-04-24,2025,4,April,2
115,2025-04-25,2025,4,April,2
116,2025-04-26,2025,4,April,2
117,2025-04-27,2025,4,April,2
118,2025-04-28,2025,4,April,2
119,2025-04-29,2025,4,April,2
120,2025-04-30,2025,4,April,2
121,2025-05-01,2025,5,May,2
122,2025-05-02,2025,5,May,2
123,2025-05-03,2025,5,May,2
124,2025-05-04,2025,5,May,2
125,2025-05-05,2025,5,May,2
126,2025-05-06,2025,5,May,2
127,2025-05-07,2025,5,May,2
128,2025-05-08,2025,5,May,2
129,2025-05-09,2025,5,May,2
130,2025-05-10,2025,5,May,2
131,2025-05-11,2025,5,May,2
132,2025-05-12,2025,5,May,2
133,2025-05-13,2025,5,May,2
134,2025-05-14,2025,5,May,2
135,2025-05-15,2025,5,May,2
136,2025-05-16,2025,5,May,2
137,2025-05-17,2025,5,May,2
138,2025-05-18,2025,5,May,2
139,2025-05-19,2025,5,May,2
140,2025-05-20,2025,5,May,2
141,2025-05-21,2025,5,May,2
142,2025-05-22,2025,5,May,2
143,2025-05-23,2025,5,May,2
144,2025-05-24,2025,5,May,2
145,2025-05-25,2025,5,May,2
146,2025-05-26,2025,5,May,2
147,2025-05-27,2025,5,May,2
148,2025-05-28,2025,5,May,2
149,2025-05-29,2025,5,May,2
150,2025-05-30,2025,5,May,2
151,2025-05-31,2025,5,May,2
152,2025-06-01,2025,6,June,2
153,2025-06-02,2025,6,June,2
154,2025-06-03,2025,6,June,2
155,2025-06-04,2025,6,June,2
156,2025-06-05,2025,6,June,2
157,2025-06-06,2025,6,June,2
158,2025-06-07,2025,6,June,2
159,2025-06-08,2025,6,June,2
160,2025-06-09,2025,6,June,2
161,2025-06-10,2025,6,June,2
162,2025-06-11,2025,6,June,2
163,2025-06-12,2025,6,June,2
164,2025-06-13,2025,6,June,2
165,2025-06-14,2025,6,June,2
166,2025-06-15,2025,6,June,2
167,2025-06-16,2025,6,June,2
168,2025-06-17,2025,6,June,2
169,2025-06-18,2025,6,June,2
170,2025-06-19,2025,6,June,2
171,2025-06-20,2025,6,June,2
172,2025-06-21,2025,6,June,2
173,2025-06-22,2025,6,June,2
174,2025-06-23,2025,6,June,2
175,2025-06-24,2025,6,June,2
176,2025-06-25,2025,6,June,2
177,2025-06-26,2025,6,June,2
178,2025-06-27,2025,6,June,2
179,2025-06-28,2025,6,June,2
180,2025-06-29,2025,6,June,2
181,2025-06-30,2025,6,June,2
182,2025-07-01,2025,7,July,3
183,2025-07-02,2025,7,July,3
184,2025-07-03,2025,7,July,3
185,2025-07-04,2025,7,July,3
186,2025-07-05,2025,7,July,3
187,2025-07-06,2025,7,July,3
188,2025-07-07,2025,7,July,3
189,2025-07-08,2025,7,July,3
190,2025-07-09,2025,7,July,3
191,2025-07-10,2025,7,July,3
192,2025-07-11,2025,7,July,3
193,2025-07-12,2025,7,July,3
194,2025-07-13,2025,7,July,3
195,2025-07-14,2025,7,July,3
196,2025-07-15,2025,7,July,3
197,2025-07-16,2025,7,July,3
198,2025-07-17,2025,7,July,3
199,2025-07-18,2025,7,July,3
200,2025-07-19,2025,7,July,3
201,2025-07-20,2025,7,July,3
202,2025-07-21,2025,7,July,3
203,2025-07-22,2025,7,July,3
204,2025-07-23,2025,7,July,3
205,2025-07-24,2025,7,July,3
206,2025-07-25,2025,7,July,3
207,2025-07-26,2025,7,July,3
208,2025-07-27,2025,7,July,3
209,2025-07-28,2025,7,July,3
210,2025-07-29,2025,7,July,3
211,2025-07-30,2025,7,July,3
212,2025-07-31,2025,7,July,3
213,2025-08-01,2025,8,August,3
214,2025-08-02,2025,8,August,3
215,2025-08-03,2025,8,August,3
216,2025-08-04,2025,8,August,3
217,2025-08-05,2025,8,August,3
218,2025-08-06,2025,8,August,3
219,2025-08-07,2025,8,August,3
220,2025-08-08,2025,8,August,3
221,2025-08-09,2025,8,August,3
222,2025-08-10,2025,8,August,3
223,2025-08-11,2025,8,August,3
224,2025-08-12,2025,8,August,3
225,2025-08-13,2025,8,August,3
226,2025-08-14,2025,8,August,3
227,2025-08-15,2025,8,August,3
228,2025-08-16,2025,8,August,3
229,2025-08-17,2025,8,August,3
230,2025-08-18,2025,8,August,3
231,2025-08-19,2025,8,August,3
232,2025-08-20,2025,8,August,3
233,2025-08-21,2025,8,August,3
234,2025-08-22,2025,8,August,3
235,2025-08-23,2025,8,August,3
236,2025-08-24,2025,8,August,3
237,2025-08-25,2025,8,August,3
238,2025-08-26,2025,8,August,3
239,2025-08-27,2025,8,August,3
240,2025-08-28,2025,8,August,3
241,2025-08-29,2025,8,August,3
242,2025-08-30,2025,8,August,3
243,2025-08-31,2025,8,August,3
244,2025-09-01,2025,9,September,3
245,2025-09-02,2025,9,September,3
246,2025-09-03,2025,9,September,3
247,2025-09-04,2025,9,September,3
248,2025-09-05,2025,9,September,3
249,2025-09-06,2025,9,September,3
250,2025-09-07,2025,9,September,3
251,2025-09-08,2025,9,September,3
252,2025-09-09,2025,9,September,3
253,2025-09-10,2025,9,September,3
254,2025-09-11,2025,9,September,3
255,2025-09-12,2025,9,September,3
256,2025-09-13,2025,9,September,3
257,2025-09-14,2025,9,September,3
258,2025-09-15,2025,9,September,3
259,2025-09-16,2025,9,September,3
260,2025-09-17,2025,9,September,3
261,2025-09-18,2025,9,September,3
262,2025-09-19,2025,9,September,3
263,2025-09-20,2025,9,September,3
264,2025-09-21,2025,9,September,3
265,2025-09-22,2025,9,September,3
266,2025-09-23,2025,9,September,3
267,2025-09-24,2025,9,September,3
268,2025-09-25,2025,9,September,3
269,2025-09-26,2025,9,September,3
270,2025-09-27,2025,9,September,3
271,2025-09-28,2025,9,September,3
272,2025-09-29,2025,9,September,3
273,2025-09-30,2025,9,September,3
274,2025-10-01,2025,10,October,4
275,2025-10-02,2025,10,October,4
276,2025-10-03,2025,10,October,4
277,2025-10-04,2025,10,October,4
278,2025-10-05,2025,10,October,4
279,2025-10-06,2025,10,October,4
280,2025-10-07,2025,10,October,4
281,2025-10-08,2025,10,October,4
282,2025-10-09,2025,10,October,4
283,2025-10-10,2025,10,October,4
284,2025-10-11,2025,10,October,4
285,2025-10-12,2025,10,October,4
286,2025-10-13,2025,10,October,4
287,2025-10-14,2025,10,October,4
288,2025-10-15,2025,10,October,4
289,2025-10-16,2025,10,October,4
290,2025-10-17,2025,10,October,4
291,2025-10-18,2025,10,October,4
292,2025-10-19,2025,10,October,4
293,2025-10-20,2025,10,October,4
294,2025-10-21,2025,10,October,4
295,2025-10-22,2025,10,October,4
296,2025-10-23,2025,10,October,4
297,2025-10-24,2025,10,October,4
298,2025-10-25,2025,10,October,4
299,2025-10-26,2025,10,October,4
300,2025-10-27,2025,10,October,4
301,2025-10-28,2025,10,October,4
302,2025-10-29,2025,10,October,4
303,2025-10-30,2025,10,October,4
304,2025-10-31,2025,10,October,4
305,2025-11-01,2025,11,November,4
306,2025-11-02,2025,11,November,4
307,2025-11-03,2025,11,November,4
308,2025-11-04,2025,11,November,4
309,2025-11-05,2025,11,November,4
310,2025-11-06,2025,11,November,4
311,2025-11-07,2025,11,November,4
312,2025-11-08,2025,11,November,4
313,2025-11-09,2025,11,November,4
314,2025-11-10,2025,11,November,4
315,2025-11-11,2025,11,November,4
316,2025-11-12,2025,11,November,4
317,2025-11-13,2025,11,November,4
318,2025-11-14,2025,11,November,4
319,2025-11-15,2025,11,November,4
320,2025-11-16,2025,11,November,4
321,2025-11-17,2025,11,November,4
322,2025-11-18,2025,11,November,4
323,2025-11-19,2025,11,November,4
324,2025-11-20,2025,11,November,4
325,2025-11-21,2025,11,November,4
326,2025-11-22,2025,11,November,4
327,2025-11-23,2025,11,November,4
328,2025-11-24,2025,11,November,4
329,2025-11-25,2025,11,November,4
330,2025-11-26,2025,11,November,4
331,2025-11-27,2025,11,November,4
332,2025-11-28,2025,11,November,4
333,2025-11-29,2025,11,November,4
334,2025-11-30,2025,11,November,4
335,2025-12-01,2025,12,December,4
336,2025-12-02,2025,12,December,4
337,2025-12-03,2025,12,December,4
338,2025-12-04,2025,12,December,4
339,2025-12-05,2025,12,December,4
340,2025-12-06,2025,12,December,4
341,2025-12-07,2025,12,December,4
342,2025-12-08,2025,12,December,4
343,2025-12-09,2025,12,December,4
344,2025-12-10,2025,12,December,4
345,2025-12-11,2025,12,December,4
346,2025-12-12,2025,12,December,4
347,2025-12-13,2025,12,December,4
348,2025-12-14,2025,12,December,4
349,2025-12-15,2025,12,December,4
350,2025-12-16,2025,12,December,4
351,2025-12-17,2025,12,December,4
352,2025-12-18,2025,12,December,4
353,2025-12-19,2025,12,December,4
354,2025-12-20,2025,12,December,4
355,2025-12-21,2025,12,December,4
356,2025-12-22,2025,12,December,4
357,2025-12-23,2025,12,December,4
358,2025-12-24,2025,12,December,4
359,2025-12-25,2025,12,December,4
360,2025-12-26,2025,12,December,4
361,2025-12-27,2025,12,December,4
362,2025-12-28,2025,12,December,4
363,2025-12-29,2025,12,December,4
364,2025-12-30,2025,12,December,4
365,2025-12-31,2025,12,December,4
